id,product_name,origin text,price
1,PINK DROP 30ml & PINK PAD 60sheets,순하고 척촉해서 좋어요,"67,000원 "
2,PINK DROP 30ml & PINK PAD 60sheets,피부가 많이 건조해서 추천받고 구매했는데 쓰는 날부터 피부가 편안해져서 대 만족입니다,"67,000원 "
3,PINK INSPIRATION  CREAM DROP 30ml,덥고 습하지만 사무실은 에어컨 바람에 건조하고 이럴때 더 빛을 발하는 핑크드롭입니다. 가볍게 휘~릭 바르지만 하루종일 촉촉하니 최고입니다.,"38,000원 "
4,GREEN PEEL QUICK  WATER PAD 60sheets,H사 색깔 ㅎㅎ예쁜 박스랑 쇼핑백에 한눈에 반했어요. 근데 사용해 보니 더 좋아요~~~ 그린패드가 도톰하니 스킨처럼 닦아내고 핑크드롭만 발라도 하루 종일 촉촉하고 화장도 잘 먹어서 좋더군요… 양이 조금만 더 많으면 좋겠다는 아쉬움은 있지만 너무 좋아서 구매해요~~,"28,000원 "
5,PINK BARRIER QUICK CREAM PAD 60sheets,덥고 습한 여름에는 핑크패드 하나만 사용해도 되서 좋아요. 크림앰플을 가득 담은 보들보들 패드는 사랑입니다*^^*~~,"29,000원 "
6,RED SOOTHER QUICK AMPOULE PAD 60sheets,"머리 말리면서 얼굴에 붙여 두면 시원하고 진정이 바로 되요~ 그리고 얼굴, 목 닦아서 마무리 하면 토너 단계 끝~에센스 바르면 되니 편하고 좋아요. 보들보들한 패드라 없어서 더 좋아요~","28,000원 "
7,YELLOW INSPIRATION  PEEL DROP  30ml,저녁에 바르고 자면 다음날 아침 세수할때 얼굴에 느낌이 달라져요 매끈 보들 화장도 잘 먹어서 이젠 필수품입니다.,"35,000원 "
8,PINK BARRIER QUICK CREAM PAD 60sheets,요즘은 핑크패드 하나만 사용해도 좋아요. 한장씩 꺼내서 닦기만 하면 되니 엄청 편해요~ 친구들에게 선물하기도 좋아서 재입고 되었을때 냉큼 구매합니다. ,"29,000원 "
9,RED SOOTHER QUICK AMPOULE PAD 60sheets,"한동안 품절이라 아쉬웠는데,, 재입고 되서 빨리 주문했어요. 보들보들 촉촉 빠르게 진정시켜주는~ 레드패드는 기초관리  필수템입니다.","28,000원 "
10,YELLOW INSPIRATION  PEEL DROP  30ml,필링제품인데도 자극이 없어서 꾸준히 사용 중 인데 사용하면 할 수도 믿음이 가요. 여름에 더 좋아요. 다음날 아침 번들거림 없이 뽀송한 얼굴 만질때마다 기분이 좋아요~~,"35,000원 "
11,GREEN INSPIRATION  GLOW DROP 30ml,거의 7-8개월째 쭉 사용 중이예요. 최애 앰플이지요. 끈적임 일도 없고 빠르게 쏙 쓰며 들어서 맘에 쏙 들어요.겨울에는 그린드롭만 바르면 조금 건조해서 크림을 덧발랐는데 여름에는 요거 하나만 발라도 되서 더 좋아요^^~,"35,000원 "
12,GREEN PEEL QUICK  WATER PAD 60sheets,지성피부라 늘 얼굴이 번들거려 비누로 꼼꼼하게 씻어내야 합니다. 문제는 그러고 나면 보호막까지 씻겨나가서 그런지 얼굴이 너무 당깁니다. 그린패드를 만나고~~~한번에 해결합니다. 비누로 대충 씻고 그린패드로 닦아내면 끝~~ 요제품 너무 좋습니다.지성피부 피지각질 관리에 강추합니다.,"28,000원 "
13,PINK INSPIRATION  CREAM DROP 30ml,항상 건조함을 달고 사는데 먼데이뮤지엄 핑크인그프레이션 크림드롭으로 너~~무 촉촉해져서 기분좋아요^^ 옐로드롭으로 바르고 난 후 사용하면 피부가 놀라 보게 달라 져서 대 만족이에요. 지인들 추천해서 구매하신 분들도 너무 만족해 하고 특히 까칠한 우리집 둘째 딸이 안물어 봤는데&ldquo;엄마 이거 진짜 좋은 것 같아&rdquo;라고 말해서 찐템확인완료 ㅎㅎ 재구매 100000% 건성피부 촉촉피부로 바뀌는 마법❤️❤️❤️,"38,000원 "
14,GREEN PEEL QUICK  WATER PAD 60sheets,누런 각질이 닦여 나와요 깨끗 맨들~~ 대형패드로 나오면 몸도 닦아내고 싶어요~~,"28,000원 "
15,PINK INSPIRATION  CREAM DROP 30ml,"바르자니 끈적이고 안바르자니 땡기고 이런 여름철 고민 해결,  핑크드롭 하나만 발라도 되서 편하고 좋습니다. 콤팩트한 여행갈때 들고 다니기도 좋습니다. ﻿펌프형이라 손에 안 묻히고 얼굴에 바로 시용항 수 있어서 좋습니다. 끝까지 다 사용할 수 있어서도 좋습니다. 그리고 마지막!!! 이 제품 사용하고 세수하고 나서 깜놀~ 얼굴에서 광이 나서 피부가 좋아지는게 보입니다. 이 제품은 진짜  좋아요 5개입니다.","38,000원 "
16,GREEN INSPIRATION  GLOW DROP 30ml,금방 쏙 훕수되서 붉은기를 빠르게 진정시켜 주네요~ 며칠 사용하는 중인데 광도 나는 거 같은데 꾸준히 사용해 보면 알겠죠. 더워서 아무것도 바르기 싫은데 여름에 바르기 좋은 제품 찾았어요.,"35,000원 "
17,YELLOW INSPIRATION  PEEL DROP  30ml,지성이라 여름에 진짜 힘듬 번들거리고 모공 넓어지고 저녁에 옐로드롭으로 피지관리 아침에 그린드롭으로 산뜻하게 수분충전 인생템을 찾았어요,"35,000원 "
18,PINK INSPIRATION  CREAM DROP 30ml,기초 3-4단계를 뛰어넘는 효과 상세설명처럼 요즘같은 날씨엔 핑크드롭 하나만 발라도 하루종일 촉촉해요. 출근할 땐 샴실에 가면  에어컨 땜에 건조해서 그린드롭을 추가 스킨처럼 먼저 바르고 핑크드롭 발르니 좋네요. 2제품으로 기초 관리 끝~진짜 좋네요,"38,000원 "
